Unnamed: 0,Time,Lat,Lon,Street,Visibility(km),Wind_Speed(km/h),Precipitation(mm),Astronomical_Twilight,road_closure,Date
88,20:00:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,16.74,,Night,True,2016-12-22
89,11:30:00,40.82164,-73.939072,West 145th Street,16.09,9.33,,Day,True,2016-12-23
90,14:30:00,40.830685,-73.935013,Harlem River Drive North,16.09,9.33,,Day,True,2016-12-23
91,15:30:00,40.815041,-73.934212,Harlem River Drive North,16.09,9.33,,Day,True,2016-12-23
92,15:30:00,40.782818,-73.943871,East 96th Street,16.09,9.33,,Day,True,2016-12-23
93,15:30:00,40.84982700000001,-73.943115,George Washington Bridge,16.09,5.63,,Day,True,2016-12-24
94,10:00:00,40.726696,-73.972008,FDR Drive,,5.63,,Day,False,2016-12-25
95,16:30:00,40.735207,-73.991714,East 14th Street,,16.74,,Day,False,2016-12-25
96,07:00:00,40.760685,-73.956726,FDR Drive,16.09,11.1,,Day,True,2016-12-26
97,06:00:00,40.718464,-73.99479699999998,Bowery,,22.21,,Day,True,2016-12-27
98,08:00:00,40.817947,-73.961731,Saint Clair Place,16.09,,,Day,True,2016-12-27
99,17:30:00,40.782818,-73.943871,East 96th Street,16.09,18.51,,Day,False,2016-12-27
100,21:00:00,40.778885,-73.943268,FDR Drive,16.09,14.81,,Night,False,2016-12-27
101,11:30:00,40.84584,-73.931061,5th Avenue,16.09,,,Day,True,2016-12-28
102,13:30:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,9.33,,Day,True,2016-12-28
103,14:30:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,13.04,,Day,True,2016-12-28
104,17:00:00,40.707687,-74.000076,FDR Drive,,11.1,,Day,True,2016-12-28
105,07:00:00,40.850067,-73.944817,George Washington Bridge,16.09,5.63,,Day,False,2016-12-29
106,09:30:00,40.759628,-73.995476,West 42nd Street,6.44,9.33,1.27,Day,True,2016-12-29
107,13:00:00,40.80416500000001,-73.931038,Harlem River Drive North,4.83,11.1,0.51,Day,False,2016-12-29
108,17:30:00,40.834126,-73.949951,Marginal Street,16.09,14.81,,Day,False,2016-12-29
109,05:00:00,40.793903,-73.932022,FDR Drive,16.09,13.04,,Night,False,2016-12-30
110,12:00:00,40.778854,-73.943253,East 91st Street,16.09,20.44,,Day,False,2016-12-30
111,12:30:00,40.84584,-73.931061,5th Avenue,16.09,14.81,,Day,False,2016-12-30
112,19:00:00,40.74802800000001,-73.96817,FDR Drive,16.09,20.44,,Night,False,2016-12-30
113,15:30:00,40.850067,-73.944817,George Washington Bridge,14.48,16.74,0.51,Day,False,2017-01-02
114,16:30:00,40.707687,-74.000076,FDR Drive,,20.44,253.75,Day,False,2017-01-02
115,18:00:00,40.773731,-73.964012,East 75th Street,4.02,16.74,0.51,Day,False,2017-01-02
116,21:30:00,40.85067,-73.94710500000002,George Washington Bridge,8.05,18.51,,Night,False,2017-01-02
117,14:30:00,40.706146,-74.01458000000002,Greenwich Street,,29.61,0.25,Day,True,2017-01-03
118,13:30:00,40.74802800000001,-73.96817,FDR Drive,16.09,18.51,,Day,True,2017-01-04
119,14:30:00,40.74802800000001,-73.96817,FDR Drive,16.09,,,Day,True,2017-01-04
120,18:30:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,27.84,,Night,False,2017-01-04
121,16:00:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,,,Day,False,2017-01-05
122,18:00:00,40.782818,-73.943871,East 96th Street,16.09,20.44,,Night,False,2017-01-05
123,19:30:00,40.755348,-73.96167,FDR Drive,16.09,14.81,,Night,False,2017-01-05
124,10:30:00,40.850067,-73.944817,George Washington Bridge,16.09,11.1,,Day,True,2017-01-06
125,20:00:00,40.80416500000001,-73.931038,Harlem River Drive North,16.09,14.81,,Night,True,2017-01-06
126,22:00:00,40.710903,-74.003632,Gold Street,,7.4,,Night,True,2017-01-07
127,08:00:00,40.77883900000001,-73.94324499999998,East 91st Street,12.87,14.81,,Day,False,2017-01-08
128,14:00:00,40.849434,-73.941795,5th Avenue,16.09,14.81,,Day,False,2017-01-08
129,15:00:00,40.757175,-73.997238,10th Avenue,16.09,14.81,,Day,True,2017-01-08
130,17:30:00,40.84584,-73.931061,5th Avenue,16.09,16.74,,Day,True,2017-01-08
131,20:00:00,40.796597,-73.97592900000002,Henry Hudson Parkway,16.09,14.81,,Night,True,2017-01-08
132,06:00:00,40.850067,-73.944817,George Washington Bridge,16.09,5.63,,Day,True,2017-01-09
133,07:00:00,40.850067,-73.944817,George Washington Bridge,16.09,5.63,,Day,True,2017-01-09
134,08:00:00,40.75637800000001,-73.964325,East 54th Street,16.09,,,Day,False,2017-01-09
135,08:30:00,40.759762,-73.960991,Ed Koch Queensboro Bridge West,16.09,7.4,,Day,False,2017-01-09
136,09:30:00,40.759762,-73.960991,Ed Koch Queensboro Bridge West,16.09,9.33,,Day,False,2017-01-09
137,10:00:00,40.834126,-73.949951,Marginal Street,16.09,,,Day,True,2017-01-09
138,12:30:00,40.828003,-73.93465400000002,Adam Clayton Powell Jr Blvd,16.09,11.1,,Day,True,2017-01-09
139,08:00:00,40.84584,-73.931061,5th Avenue,16.09,,,Day,False,2017-01-10
140,08:00:00,40.707321,-74.015404,I-478 West,,7.4,,Day,False,2017-01-10
141,09:30:00,40.778961,-73.943428,FDR Drive,16.09,5.63,,Day,True,2017-01-10
142,13:00:00,40.851543,-73.95208000000002,George Washington Bridge,16.09,7.4,,Day,False,2017-01-10
143,20:30:00,40.759762,-73.960991,Ed Koch Queensboro Bridge West,16.09,9.33,,Night,False,2017-01-10
144,07:00:00,40.845657,-73.92932900000002,Alexander Hamilton Bridge East,16.09,14.81,,Day,True,2017-01-11
145,08:00:00,40.850067,-73.944817,George Washington Bridge,16.09,,,Day,True,2017-01-11
146,09:30:00,40.759762,-73.960991,Ed Koch Queensboro Bridge West,16.09,9.33,,Day,True,2017-01-11
147,09:30:00,40.782818,-73.943871,East 96th Street,16.09,9.33,,Day,False,2017-01-11
148,09:30:00,40.798363,-73.975441,Henry Hudson Parkway,16.09,9.33,,Day,False,2017-01-11
149,10:00:00,40.841846,-73.93160999999998,Harlem River Drive South,16.09,7.4,,Day,False,2017-01-11
150,06:00:00,40.80127,-73.929916,Robert F Kennedy Bridge,16.09,9.33,,Day,True,2017-01-12
151,08:00:00,40.718971,-73.974968,E Houston Street,,11.1,,Day,True,2017-01-12
152,08:00:00,40.850067,-73.944817,George Washington Bridge,16.09,16.74,,Day,True,2017-01-12
153,10:00:00,40.850067,-73.944817,George Washington Bridge,16.09,14.81,,Day,True,2017-01-12
154,10:30:00,40.74802800000001,-73.96817,FDR Drive,16.09,11.1,,Day,True,2017-01-12
155,13:30:00,40.782818,-73.943871,East 96th Street,16.09,13.04,,Day,True,2017-01-12
156,16:00:00,40.81155,-73.934776,Harlem River Drive South,16.09,14.81,,Day,True,2017-01-12
157,05:30:00,40.759762,-73.960991,Ed Koch Queensboro Bridge West,16.09,13.04,,Day,True,2017-01-13
158,08:00:00,40.850067,-73.944817,George Washington Bridge,16.09,5.63,,Day,False,2017-01-13
159,08:00:00,40.850067,-73.944817,George Washington Bridge,16.09,5.63,,Day,False,2017-01-13
160,08:30:00,40.792248,-73.946281,Lexington Avenue,16.09,20.44,,Day,False,2017-01-13
161,11:00:00,40.781536,-73.986778,Henry Hudson Parkway,16.09,11.1,,Day,True,2017-01-13
162,19:00:00,40.74802800000001,-73.96817,FDR Drive,16.09,7.4,,Night,True,2017-01-13
163,00:30:00,40.709515,-73.991943,Manhattan Bridge,,5.63,,Night,True,2017-01-14
164,02:00:00,40.714493,-73.976715,FDR Drive,,9.33,,Night,False,2017-01-14
165,05:30:00,40.765228,-73.951904,FDR Drive,16.09,11.1,,Day,False,2017-01-14
166,06:00:00,40.744328,-73.971397,Franklin Delano Roosevelt Drive Service Rd West,16.09,11.1,,Day,False,2017-01-14
